Crop,City,Necessary_Measures
Rice,West Bengal,"Adopt alternate wetting & drying irrigation, reduce methane emissions, use organic manure."
Safflower,West Bengal,"Adopt sustainable irrigation, reduce chemical inputs, promote crop diversification."
Sannhamp,West Bengal,"Adopt sustainable irrigation, reduce chemical inputs, promote crop diversification."
Sesamum,West Bengal,"Adopt sustainable irrigation, reduce chemical inputs, promote crop diversification."
Small millets,West Bengal,"Adopt sustainable irrigation, reduce chemical inputs, promote crop diversification."
Small millets,West Bengal,"Adopt sustainable irrigation, reduce chemical inputs, promote crop diversification."
Soyabean,West Bengal,"Adopt sustainable irrigation, reduce chemical inputs, promote crop diversification."
Sugarcane,West Bengal,"Improve irrigation efficiency, use bio-fertilizers, trash mulching."
Sunflower,West Bengal,"Adopt sustainable irrigation, reduce chemical inputs, promote crop diversification."
Turmeric,West Bengal,"Adopt sustainable irrigation, reduce chemical inputs, promote crop diversification."
Urad,West Bengal,"Adopt sustainable irrigation, reduce chemical inputs, promote crop diversification."
Urad,West Bengal,"Adopt sustainable irrigation, reduce chemical inputs, promote crop diversification."
Wheat,West Bengal,"Use drip irrigation, rotate with legumes, reduce synthetic fertilizers."
Arecanut,Assam,"Agroforestry practices, organic manures, pest-resistant varieties."
Arhar/Tur,Assam,"Promote intercropping, biofertilizers, efficient irrigation."
Banana,Assam,"Adopt sustainable irrigation, reduce chemical inputs, promote crop diversification."
Castor seed,Assam,"Use drought-resistant varieties, minimal fertilizer use, organic manure."
Coconut ,Assam,"Adopt sustainable irrigation, reduce chemical inputs, promote crop diversification."
Cotton(lint),Assam,"Adopt organic cotton practices, drip irrigation, integrated pest management."
Dry chillies,Assam,"Adopt sustainable irrigation, reduce chemical inputs, promote crop diversification."
Gram,Assam,"Adopt sustainable irrigation, reduce chemical inputs, promote crop diversification."
Jute,Assam,"Adopt sustainable irrigation, reduce chemical inputs, promote crop diversification."
Linseed,Assam,"Adopt sustainable irrigation, reduce chemical inputs, promote crop diversification."
Maize,Assam,"Promote intercropping, minimal tillage, nitrogen-efficient fertilizers."
Mesta,Assam,"Adopt sustainable irrigation, reduce chemical inputs, promote crop diversification."
Niger seed,Assam,"Adopt sustainable irrigation, reduce chemical inputs, promote crop diversification."
Onion,Assam,"Adopt sustainable irrigation, reduce chemical inputs, promote crop diversification."
Other  Rabi pulses,Assam,"Adopt sustainable irrigation, reduce chemical inputs, promote crop diversification."
Potato,Assam,"Use disease-free seeds, precision irrigation, organic manure."
Rapeseed &Mustard,Assam,"Adopt sustainable irrigation, reduce chemical inputs, promote crop diversification."
Rice,Assam,"Adopt alternate wetting & drying irrigation, reduce methane emissions, use organic manure."
Rice,Assam,"Adopt alternate wetting & drying irrigation, reduce methane emissions, use organic manure."
Rice,Assam,"Adopt alternate wetting & drying irrigation, reduce methane emissions, use organic manure."
Sesamum,Assam,"Adopt sustainable irrigation, reduce chemical inputs, promote crop diversification."
Small millets,Assam,"Adopt sustainable irrigation, reduce chemical inputs, promote crop diversification."
Sugarcane,Assam,"Improve irrigation efficiency, use bio-fertilizers, trash mulching."
Sweet potato,Assam,"Adopt sustainable irrigation, reduce chemical inputs, promote crop diversification."
Tapioca,Assam,"Adopt sustainable irrigation, reduce chemical inputs, promote crop diversification."
Tobacco,Assam,"Adopt sustainable irrigation, reduce chemical inputs, promote crop diversification."
Turmeric,Assam,"Adopt sustainable irrigation, reduce chemical inputs, promote crop diversification."
Wheat,Assam,"Use drip irrigation, rotate with legumes, reduce synthetic fertilizers."
Arecanut,Goa,"Agroforestry practices, organic manures, pest-resistant varieties."
Banana,Goa,"Adopt sustainable irrigation, reduce chemical inputs, promote crop diversification."
Black pepper,Goa,"Adopt sustainable irrigation, reduce chemical inputs, promote crop diversification."
Cashewnut,Goa,"Adopt sustainable irrigation, reduce chemical inputs, promote crop diversification."
Coconut ,Goa,"Adopt sustainable irrigation, reduce chemical inputs, promote crop diversification."
Groundnut,Goa,"Adopt sustainable irrigation, reduce chemical inputs, promote crop diversification."
Groundnut,Goa,"Adopt sustainable irrigation, reduce chemical inputs, promote crop diversification."
Other  Rabi pulses,Goa,"Adopt sustainable irrigation, reduce chemical inputs, promote crop diversification."
Other Kharif pulses,Goa,"Adopt sustainable irrigation, reduce chemical inputs, promote crop diversification."
Ragi,Goa,"Adopt sustainable irrigation, reduce chemical inputs, promote crop diversification."
Rice,Goa,"Adopt alternate wetting & drying irrigation, reduce methane emissions, use organic manure."
Rice,Goa,"Adopt alternate wetting & drying irrigation, reduce methane emissions, use organic manure."
Sugarcane,Goa,"Improve irrigation efficiency, use bio-fertilizers, trash mulching."
Arecanut,Kerala,"Agroforestry practices, organic manures, pest-resistant varieties."
Banana,Kerala,"Adopt sustainable irrigation, reduce chemical inputs, promote crop diversification."
Black pepper,Kerala,"Adopt sustainable irrigation, reduce chemical inputs, promote crop diversification."
Cardamom,Kerala,"Adopt sustainable irrigation, reduce chemical inputs, promote crop diversification."
Cashewnut,Kerala,"Adopt sustainable irrigation, reduce chemical inputs, promote crop diversification."
Coconut ,Kerala,"Adopt sustainable irrigation, reduce chemical inputs, promote crop diversification."
Cotton(lint),Kerala,"Adopt organic cotton practices, drip irrigation, integrated pest management."
Dry chillies,Kerala,"Adopt sustainable irrigation, reduce chemical inputs, promote crop diversification."
Garlic,Kerala,"Adopt sustainable irrigation, reduce chemical inputs, promote crop diversification."
Ginger,Kerala,"Adopt sustainable irrigation, reduce chemical inputs, promote crop diversification."
Groundnut,Kerala,"Adopt sustainable irrigation, reduce chemical inputs, promote crop diversification."
Jowar,Kerala,"Adopt sustainable irrigation, reduce chemical inputs, promote crop diversification."
Ragi,Kerala,"Adopt sustainable irrigation, reduce chemical inputs, promote crop diversification."
Rice,Kerala,"Adopt alternate wetting & drying irrigation, reduce methane emissions, use organic manure."
Rice,Kerala,"Adopt alternate wetting & drying irrigation, reduce methane emissions, use organic manure."
Rice,Kerala,"Adopt alternate wetting & drying irrigation, reduce methane emissions, use organic manure."
Sesamum,Kerala,"Adopt sustainable irrigation, reduce chemical inputs, promote crop diversification."
Sugarcane,Kerala,"Improve irrigation efficiency, use bio-fertilizers, trash mulching."
Sweet potato,Kerala,"Adopt sustainable irrigation, reduce chemical inputs, promote crop diversification."
Tapioca,Kerala,"Adopt sustainable irrigation, reduce chemical inputs, promote crop diversification."
Tobacco,Kerala,"Adopt sustainable irrigation, reduce chemical inputs, promote crop diversification."
Turmeric,Kerala,"Adopt sustainable irrigation, reduce chemical inputs, promote crop diversification."
Arecanut,Meghalaya,"Agroforestry practices, organic manures, pest-resistant varieties."
Arhar/Tur,Meghalaya,"Promote intercropping, biofertilizers, efficient irrigation."
Banana,Meghalaya,"Adopt sustainable irrigation, reduce chemical inputs, promote crop diversification."
Castor seed,Meghalaya,"Use drought-resistant varieties, minimal fertilizer use, organic manure."
Cotton(lint),Meghalaya,"Adopt organic cotton practices, drip irrigation, integrated pest management."
Dry chillies,Meghalaya,"Adopt sustainable irrigation, reduce chemical inputs, promote crop diversification."
Ginger,Meghalaya,"Adopt sustainable irrigation, reduce chemical inputs, promote crop diversification."
Gram,Meghalaya,"Adopt sustainable irrigation, reduce chemical inputs, promote crop diversification."
Jute,Meghalaya,"Adopt sustainable irrigation, reduce chemical inputs, promote crop diversification."
Maize,Meghalaya,"Promote intercropping, minimal tillage, nitrogen-efficient fertilizers."
Mesta,Meghalaya,"Adopt sustainable irrigation, reduce chemical inputs, promote crop diversification."
Potato,Meghalaya,"Use disease-free seeds, precision irrigation, organic manure."
Rapeseed &Mustard,Meghalaya,"Adopt sustainable irrigation, reduce chemical inputs, promote crop diversification."
Rice,Meghalaya,"Adopt alternate wetting & drying irrigation, reduce methane emissions, use organic manure."
Rice,Meghalaya,"Adopt alternate wetting & drying irrigation, reduce methane emissions, use organic manure."
Sesamum,Meghalaya,"Adopt sustainable irrigation, reduce chemical inputs, promote crop diversification."
Soyabean,Meghalaya,"Adopt sustainable irrigation, reduce chemical inputs, promote crop diversification."
Sugarcane,Meghalaya,"Improve irrigation efficiency, use bio-fertilizers, trash mulching."
Sweet potato,Meghalaya,"Adopt sustainable irrigation, reduce chemical inputs, promote crop diversification."
Tapioca,Meghalaya,"Adopt sustainable irrigation, reduce chemical inputs, promote crop diversification."
Tobacco,Meghalaya,"Adopt sustainable irrigation, reduce chemical inputs, promote crop diversification."
Turmeric,Meghalaya,"Adopt sustainable irrigation, reduce chemical inputs, promote crop diversification."
Arecanut,Puducherry,"Agroforestry practices, organic manures, pest-resistant varieties."
Bajra,Puducherry,"Adopt sustainable irrigation, reduce chemical inputs, promote crop diversification."
Banana,Puducherry,"Adopt sustainable irrigation, reduce chemical inputs, promote crop diversification."
Black pepper,Puducherry,"Adopt sustainable irrigation, reduce chemical inputs, promote crop diversification."
Cashewnut,Puducherry,"Adopt sustainable irrigation, reduce chemical inputs, promote crop diversification."
Coconut ,Puducherry,"Adopt sustainable irrigation, reduce chemical inputs, promote crop diversification."
Coriander,Puducherry,"Adopt sustainable irrigation, reduce chemical inputs, promote crop diversification."
Cotton(lint),Puducherry,"Adopt organic cotton practices, drip irrigation, integrated pest management."
Dry chillies,Puducherry,"Adopt sustainable irrigation, reduce chemical inputs, promote crop diversification."
Ginger,Puducherry,"Adopt sustainable irrigation, reduce chemical inputs, promote crop diversification."
Groundnut,Puducherry,"Adopt sustainable irrigation, reduce chemical inputs, promote crop diversification."
Jowar,Puducherry,"Adopt sustainable irrigation, reduce chemical inputs, promote crop diversification."
Moong(Green Gram),Puducherry,"Adopt sustainable irrigation, reduce chemical inputs, promote crop diversification."
Onion,Puducherry,"Adopt sustainable irrigation, reduce chemical inputs, promote crop diversification."
Other  Rabi pulses,Puducherry,"Adopt sustainable irrigation, reduce chemical inputs, promote crop diversification."
Ragi,Puducherry,"Adopt sustainable irrigation, reduce chemical inputs, promote crop diversification."
Rapeseed &Mustard,Puducherry,"Adopt sustainable irrigation, reduce chemical inputs, promote crop diversification."
Rice,Puducherry,"Adopt alternate wetting & drying irrigation, reduce methane emissions, use organic manure."
Sugarcane,Puducherry,"Improve irrigation efficiency, use bio-fertilizers, trash mulching."
Tapioca,Puducherry,"Adopt sustainable irrigation, reduce chemical inputs, promote crop diversification."
Urad,Puducherry,"Adopt sustainable irrigation, reduce chemical inputs, promote crop diversification."
Arecanut,West Bengal,"Agroforestry practices, organic manures, pest-resistant varieties."
Arhar/Tur,West Bengal,"Promote intercropping, biofertilizers, efficient irrigation."
Bajra,West Bengal,"Adopt sustainable irrigation, reduce chemical inputs, promote crop diversification."
Barley,West Bengal,"Adopt sustainable irrigation, reduce chemical inputs, promote crop diversification."
Cardamom,West Bengal,"Adopt sustainable irrigation, reduce chemical inputs, promote crop diversification."
Castor seed,West Bengal,"Use drought-resistant varieties, minimal fertilizer use, organic manure."
